name,review_count,categories,rating,transactions,address,zipcode,display_phone,price,latitude,longitude,borough
Friedmans,924,"Breakfast & Brunch, New American, Cocktail Bars",3.9,"['delivery', 'pickup']","450 10th Ave, New York, NY 10018",10018,(212) 268-1100,$$,40.755311,-73.998389,Manhattan
Obao,4335,"Vietnamese, Thai, Asian Fusion",4.0,"['delivery', 'pickup']","647 9th Ave, New York, NY 10036",10036,(212) 245-8880,$$,40.7606544,-73.991332,Manhattan
The Tailor Public House,183,"Pubs, American",3.7,"['delivery', 'pickup']","505 8th Ave, New York, NY 10018",10018,(646) 949-4900,$$,40.753126022542,-73.9929894380382,Manhattan
VERSA,304,"New American, Gastropubs, Cocktail Bars",3.7,['delivery'],"218 W 35th St, Fl 5, New York, NY 10001",10001,(646) 850-2850,,40.75183,-73.99099,Manhattan
Witch Topokki Manhattan,79,Korean,4.3,[],"330 7th Ave, New York, NY 10001",10001,(646) 449-0388,,40.74772,-73.99324,Manhattan
Midnight by Navarro's,103,"Cocktail Bars, Wine Bars, New American",4.2,['pickup'],"75 Manhattan W Plz, New York, NY 10001",10001,(917) 905-2782,,40.752978270492264,-73.99814172171888,Manhattan
Goldie’s Tavern,40,"Gastropubs, Sports Bars, Cocktail Bars",4.3,[],"135 West 30th St, New York, NY 10001",10001,(212) 465-3437,$$,40.7481,-73.99129,Manhattan
Maggie Reillys Restaurant,123,"Pubs, American",4.2,"['delivery', 'pickup']","340 9th Ave, New York, NY 10001",10001,(646) 476-3209,$$,40.7504318,-73.9981307,Manhattan
Bea,3044,"New American, Cocktail Bars",4.2,"['restaurant_reservation', 'delivery']","403 W 43rd St, New York, NY 10036",10036,(212) 602-1910,$$,40.7591968,-73.9923361,Manhattan
Gurumé,207,"Korean, Tapas/Small Plates, Cocktail Bars",4.7,"['delivery', 'pickup']","313 W 46th St, New York, NY 10036",10036,(917) 388-2017,,40.760301,-73.988564,Manhattan
Jajaja Mexicana,87,"Mexican, Bars",4.3,['pickup'],"450 W 33rd St, Whole Foods, New York, NY 10001",10001,(917) 722-8419,,40.752826939147255,-73.99968461876813,Manhattan
Juniper Bar,731,"Cocktail Bars, New American",4.0,"['delivery', 'pickup']","237 W 35th St, New York, NY 10001",10001,(212) 967-2511,$$,40.7524014,-73.99133599999999,Manhattan
The Ragtrader & Bo Peep Cocktail and Highball Store,959,"Bars, Piano Bars, New American",4.4,"['delivery', 'pickup']","70 W 36th St 1A, 1A, New York, NY 10018",10018,(917) 261-5495,$$,40.7507108837366,-73.98621872023773,Manhattan
Blue Ribbon Sushi & Steak,37,"Sushi Bars, Steakhouses, Japanese",4.7,[],"Penn 1, New York, NY 10119",10119,(347) 929-0404,,40.751057863112614,-73.99250384384727,
Moynihan Food Hall,22,"Food Court, Bars",4.2,[],"421 8th Ave, New York, NY 10001",10001,,,40.75174959241745,-73.99588721178985,Manhattan
7th Street Burger - Times Square,236,"Burgers, Beverage Store",4.3,"['delivery', 'pickup']","485 7th Ave, New York, NY 10018",10018,,$$,40.75243161339776,-73.98932513685675,Manhattan
Peak,572,"New American, Venues & Event Spaces, Lounges",4.3,[],"30 Hudson Yards, Fl 101, New York, NY 10001",10001,(332) 204-8509,$$$$,40.753942,-74.00034,Manhattan
Whitmans Hudson Yards,330,"Burgers, Desserts, New American",3.9,"['delivery', 'pickup']","331 10th Ave, New York, NY 10001",10001,(212) 837-1416,$$,40.75173481553854,-74.00146209413181,Manhattan
In Common NYC,186,"Cafes, Breakfast & Brunch",4.4,"['delivery', 'pickup']","441 9th Ave, Ste 101, New York, NY 10001",10001,,,40.7538451305367,-73.99624099166157,Manhattan
Best Bagel & Coffee,4960,"Bagels, Coffee & Tea, Breakfast & Brunch",4.5,"['delivery', 'pickup']","225 W 35th St, New York, NY 10001",10001,(212) 564-4409,$$,40.7522683,-73.9910861,Manhattan
Her Name Is Han,2100,"Korean, Breakfast & Brunch",4.3,"['delivery', 'pickup']","17 E 31st St, New York, NY 10016",10016,(212) 779-9990,$$,40.7462615966797,-73.984733581543,Manhattan
Zoob Zib Thai Authentic Noodle Bar,570,"Thai, Noodles",4.0,"['delivery', 'pickup']","460 9th Ave, New York, NY 10018",10018,(212) 971-8530,$$,40.75438,-73.99536,Manhattan
Alessa Cucina & Bar,18,"Italian, Cocktail Bars, Venues & Event Spaces",4.7,[],"237 W 35th St, Ste B, New York, NY 10001",10001,(929) 532-2552,,40.752414070599656,-73.99133599999999,Manhattan
Kahlo,275,"New Mexican Cuisine, Tacos",4.2,"['delivery', 'pickup']","525 West 29th St, New York, NY 10001",10001,(212) 256-0083,$$$,40.752092,-74.0026757,Manhattan
Boqueria W40th,828,"Tapas/Small Plates, Spanish, Tapas Bars",4.1,"['delivery', 'pickup']","260 W 40th St, New York, NY 10018",10018,(212) 255-6047,$$$,40.75558,-73.99012,Manhattan
Shanghai time,107,Shanghainese,4.2,"['delivery', 'pickup']","273 W 38th St, New York, NY 10018",10018,(646) 351-6699,$$,40.754645,-73.991169,Manhattan
Jack Doyle's Bar & Restaurant,406,"American, Pubs, Irish",3.8,"['delivery', 'pickup']","240 W 35th St, New York, NY 10001",10001,(212) 268-1255,$$,40.752132,-73.991852,Manhattan
Zizi,275,"Mediterranean, Middle Eastern",4.3,"['delivery', 'pickup']","182 8th Ave, New York, NY 10011",10011,(646) 669-8162,,40.74293,-74.00002,Manhattan
Suram NYC,111,"Ramen, Sushi Bars",4.4,"['delivery', 'pickup']","483 10th Ave, New York, NY 10018",10018,(212) 401-0866,,40.756492,-73.998173,Manhattan
Ye's Apothecary 夜莺,797,"Szechuan, Speakeasies",4.6,[],"119 Orchard St, New York, NY 10002",10002,(929) 655-2515,$$,40.71945,-73.9898,Manhattan
Toriya,56,"Izakaya, Tapas/Small Plates",4.7,"['restaurant_reservation', 'pickup', 'delivery']","178 Stanton St, New York, NY 10002",10002,(646) 559-0559,,40.72017,-73.98399,Manhattan
The Mayfly,81,American,4.4,"['pickup', 'delivery']","269 E Houston St, New York, NY 10002",10002,(646) 449-8435,,40.72152,-73.98462,Manhattan
La Contenta Les,950,"Mexican, Bars, Breakfast & Brunch",4.5,"['pickup', 'delivery']","102 Norfolk St, New York, NY 10002",10002,(212) 432-4180,$$,40.71878,-73.98706,Manhattan
Kalye- Broome,235,Filipino,4.6,"['restaurant_reservation', 'pickup', 'delivery']","251 Broome St, New York, NY 10002",10002,(646) 422-7267,$$,40.7179,-73.98999,Manhattan
Pretty Ricky’s,81,"Bars, American",4.1,"['pickup', 'delivery']","101 Rivington St, New York, NY 10002",10002,(646) 429-3957,$$,40.719949,-73.988297,Manhattan
The Cabin NYC,713,"New American, Cocktail Bars, Breakfast & Brunch",4.1,"['restaurant_reservation', 'pickup', 'delivery']","205 E 4th St, New York, NY 10009",10009,(212) 777-0454,$$,40.723991,-73.983785,Manhattan
Excuse My French,381,"Bars, Tapas Bars, French",4.3,"['pickup', 'delivery']","96 Orchard St, New York, NY 10002",10002,(212) 780-9600,$$,40.718437,-73.989807,Manhattan
Les Enfants de Boheme,375,"French, Cocktail Bars, Wine Bars",4.3,"['restaurant_reservation', 'delivery']","177 Henry St, New York, NY 10002",10002,(646) 476-4843,$$,40.7136187,-73.9888503,Manhattan
Betty,69,"New American, Bars, Venues & Event Spaces",4.6,"['pickup', 'delivery']","193 Henry St, New York, NY 10002",10002,(646) 556-5081,$$,40.71367,-73.98785,Manhattan
Rebel Restaurant and Bar,128,Haitian,4.4,"['pickup', 'delivery']","29 Clinton St, New York, NY 10002",10002,(973) 834-8126,,40.720444,-73.984529,Manhattan
Sae Ron,44,"Korean, Desserts, Cocktail Bars",4.5,"['restaurant_reservation', 'pickup', 'delivery']","99 Stanton St, New York, NY 10002",10002,(646) 454-0848,,40.7211615,-73.9881349566141,Manhattan
Wayla,718,Thai,4.4,['delivery'],"100 Forsyth St, Basement, New York, NY 10002",10002,(212) 206-2500,$$$,40.7183,-73.9926038,Manhattan
The Orchard Room,20,"Bars, Dim Sum, Venues & Event Spaces",4.4,[],"120 Orchard St, New York, NY 10002",10002,(646) 720-9791,,40.719365,-73.989322,Manhattan
Izakaya Ronin,36,"Japanese, Tapas Bars",4.4,"['pickup', 'delivery']","69 Clinton St, New York, NY 10002",10002,(646) 882-0510,,40.719352,-73.985069,Manhattan
8282,256,Korean,4.6,[],"84 Stanton St, New York, NY 10002",10002,(929) 837-0360,,40.72161,-73.98875,Manhattan
Double Chicken Please,768,"Cocktail Bars, Burgers, Sandwiches",4.4,"['pickup', 'delivery']","115 Allen St, New York, NY 10002",10002,(646) 678-5452,$$$,40.719584,-73.990486,Manhattan
Trapizzino,350,"Italian, Wine Bars, Cocktail Bars",4.4,"['pickup', 'delivery']","144 Orchard St, New York, NY 10002",10002,(212) 475-2555,$$,40.72043,-73.98894,Manhattan
Pig and Khao,1983,"Filipino, Thai, Pan Asian",3.9,"['pickup', 'delivery']","68 Clinton St, New York, NY 10002",10002,(212) 920-4485,$$$,40.71926,-73.98475,Manhattan
LĒNA,243,"French, Wine Bars, Cocktail Bars",4.4,"['pickup', 'delivery']","137 Eldridge St, New York, NY 10002",10002,(347) 935-1897,$$,40.719135,-73.991758,Manhattan
Potluck Club 佰樂,433,"Cantonese, Asian Fusion",4.4,"['pickup', 'delivery']","133 Chrystie St, New York, NY 10002",10002,,,40.719588,-73.993519,Manhattan
Mắm,130,Vietnamese,4.3,[],"70 Forsyth St, New York, NY 10002",10002,,,40.71704,-73.99338,Manhattan
Somm Time,117,"Wine Bars, New American",4.5,['delivery'],"254 Broome St, New York, NY 10002",10002,(212) 860-0401,$$,40.7182273,-73.9899201,Manhattan
Kisa,144,Korean,4.3,[],"205 Allen St, New York, NY 10002",10002,(646) 866-8622,,40.72272,-73.989086,Manhattan
Gotham Burger Social Club,175,Burgers,4.1,[],"131 Essex St, New York, NY 10002",10002,,$$,40.720052,-73.987627,Manhattan
Ginger and Lemongrass,625,"Vietnamese, Thai, Asian Fusion",4.2,"['pickup', 'delivery']","153 Rivington St, New York, NY 10002",10002,(646) 876-1237,$$,40.71912,-73.98567,Manhattan
Beauty & Essex,4001,New American,4.0,"['pickup', 'delivery']","146 Essex St, New York City, NY 10002",10002,(212) 614-0146,$$$,40.720434786101286,-73.98686057623863,Manhattan
Joey Roses Sandwich Shoppe,138,"Sandwiches, Bars",4.6,"['pickup', 'delivery']","174 Rivington St, New York, NY 10002",10002,(646) 692-4020,,40.71902195202514,-73.98450003162947,Manhattan
Datz Deli,37,"Delis, Caribbean, Sandwiches",4.1,[],"69 Clinton St, New York, NY 10002",10002,(646) 669-7234,$$,40.71937963445847,-73.98511200342833,Manhattan
Clinton Street Baking Company,5971,"Bakeries, New American, Breakfast & Brunch",4.0,"['pickup', 'delivery']","4 Clinton St, New York, NY 10002",10002,(646) 602-6263,$$,40.721128,-73.983933,Manhattan
Holy Cow,355,"Burgers, Hot Dogs, Fast Food",4.2,"['pickup', 'delivery']","34 Canal St, New York, NY 10002",10002,(212) 774-9446,$,40.714399,-73.99073,Manhattan
Dudleys,1135,"Cafes, Breakfast & Brunch, Cocktail Bars",4.1,['delivery'],"85 Orchard St, New York, NY 10002",10002,(212) 925-7355,$$,40.71798,-73.99042,Manhattan
Ernesto’s,158,Basque,3.7,['delivery'],"259 E Broadway, New York, NY 10002",10002,(646) 692-8300,,40.71429,-73.9854371,Manhattan
BOHO's Kitchen,7,"Izakaya, Chicken Wings, Beer Bar",4.3,[],"152 Orchard St, New York, NY 10002",10002,(212) 777-0343,,40.72072,-73.98864,Manhattan
Sweet Chick,1990,"Southern, Breakfast & Brunch, Chicken Shop",4.0,"['pickup', 'delivery']","178 Ludlow St, New York, NY 10002",10002,(646) 657-0233,$$,40.7217399,-73.98739,Manhattan
Sen Saigon,26,"Vegan, Vietnamese",4.8,"['pickup', 'delivery']","150 E Broadway, New York, NY 10002",10002,(347) 969-3727,,40.714158,-73.990942,Manhattan
Forget Me Not,218,"Bars, American",4.1,"['pickup', 'delivery']","138 Division St, New York, NY 10002",10002,(646) 707-3195,$$,40.714498871349,-73.9915559401866,Manhattan
Davelle,517,"Japanese, Breakfast & Brunch, Cafes",4.1,"['pickup', 'delivery']","102 Suffolk St, New York, NY 10002",10002,(646) 988-1973,$$,40.71852,-73.98605,Manhattan
Las' Lap,187,"Caribbean, Chicken Wings, Cocktail Bars",3.8,[],"74 Orchard St, New York, NY 10002",10002,(646) 484-6002,$$,40.7176139,-73.990234,Manhattan
Carlota,15,"Tapas Bars, Tapas/Small Plates, Vermouth Bars",4.9,[],"14A Orchard St, New York, NY 10002",10002,(917) 488-0943,,40.715038,-73.991693,Manhattan
Delancey St Pizza,1,Pizza,5.0,[],"102 Clinton St, New York, NY 10002",10002,(646) 398-7814,,40.71807976892998,-73.98549262539048,Manhattan
Patacon Pisao,444,"Venezuelan, Sandwiches",4.1,"['pickup', 'delivery']","139 Essex St, New York, NY 10002",10002,(646) 678-5913,$,40.720392,-73.987561,Manhattan
Katz's Delicatessen,16187,"Delis, Sandwiches, Soup",4.1,"['pickup', 'delivery']","205 E Houston St, New York, NY 10002",10002,(212) 254-2246,$$,40.72221127798768,-73.98747940414935,Manhattan
Birria LES,162,"Halal, Tacos",4.2,[],"127 Rivington St, New York, NY 10002",10002,(646) 789-7777,$$,40.719628849397935,-73.98711402147562,Manhattan
Chinato,39,"Cocktail Bars, Wine Bars, Seafood",4.6,[],"108 Stanton St, New York, NY 10002",10002,,,40.721255,-73.987518,Manhattan
Kopitiam,1075,"Malaysian, Desserts, Breakfast & Brunch",4.1,"['pickup', 'delivery']","151 E Broadway, New York, NY 10002",10002,(646) 609-3785,$$,40.71387,-73.99091,Manhattan
Eastpoint,119,"Tacos, Sports Bars, American",4.3,"['pickup', 'delivery']","25 Ave B, New York, NY 10009",10009,(646) 882-0593,$$,40.72228,-73.98311,Manhattan
Kong Sihk Tong 港食堂,937,"Chinese, Hong Kong Style Cafe",4.2,"['pickup', 'delivery']","65 Bayard St, New York, NY 10013",10013,(646) 850-6140,$$,40.715433714742154,-73.9981186386701,Manhattan
87 Ludlow,13,"Filipino, Spanish, Cocktail Bars",4.5,[],"87 Ludlow St, New York, NY 10002",10002,(212) 510-7605,,40.718372,-73.989485,Manhattan
Kiki's,940,"Greek, Mediterranean",4.1,"['pickup', 'delivery']","130 Division St, New York, NY 10002",10002,(646) 882-7052,$$,40.7144971858255,-73.9918553931336,Manhattan
Da Andrea - Greenwich Village,2455,"Italian, Mediterranean, Breakfast & Brunch",4.4,"['pickup', 'restaurant_reservation', 'delivery']","35 W 13th St, New York, NY 10011",10011,(212) 367-1979,$$,40.736287,-73.995865,Manhattan
FERNS,310,"Cocktail Bars, New American, Breakfast & Brunch",4.5,['delivery'],"166 1st Ave, New York, NY 10009",10009,(646) 998-5034,$$,40.72881612591204,-73.9840489193202,Manhattan
Olio e Più,6172,"Pizza, Italian, Cocktail Bars",4.5,"['delivery', 'pickup']","3 Greenwich Ave, New York, NY 10014",10014,(212) 243-6546,$$,40.73406231935954,-73.99999980859876,Manhattan
Soothr,1504,"Thai, Noodles, Cocktail Bars",4.5,"['pickup', 'delivery']","204 E 13th St, New York, NY 10003",10003,(212) 844-9789,$$,40.732259,-73.987363,Manhattan
Cathédrale Restaurant,566,"French, Mediterranean",3.7,"['pickup', 'delivery']","112 E 11th St, New York City, NY 10003",10003,(212) 888-1093,$$$$,40.731516,-73.989501,Manhattan
Ichibantei,336,"Japanese, Steakhouses",3.9,"['pickup', 'delivery']","100 3rd Ave, New York, NY 10003",10003,(917) 965-2327,$$,40.73259680054533,-73.9880024,Manhattan
LoveMama,6925,"Thai, Malaysian, Vietnamese",4.4,"['pickup', 'restaurant_reservation', 'delivery']","174 2nd Ave, New York, NY 10003",10003,(212) 254-5370,$$,40.730408722512074,-73.98612673033213,Manhattan
Nan Xiang Soup Dumplings - East Village,178,"Dim Sum, Noodles",4.8,"['pickup', 'delivery']","15 St Marks Pl, New York, NY 10003",10003,(212) 970-8788,$$,40.729361,-73.988827,Manhattan
White Oak Tavern,484,"New American, Whiskey Bars, Cocktail Bars",4.2,"['pickup', 'delivery']","21 Waverly Pl, New York, NY 10003",10003,(212) 260-2604,$$,40.7303892,-73.99462,Manhattan
Raku,1729,"Japanese, Noodles",4.4,"['delivery', 'pickup']","342 E 6th St, New York, NY 10003",10003,(212) 228-1324,$$,40.7264988089246,-73.9866526052356,Manhattan
Amélie,2968,"French, Wine Bars",4.3,"['pickup', 'delivery']","22 W 8th St, New York, NY 10011",10011,(212) 533-2962,$$$,40.7327,-73.99766,Manhattan
Thursday Kitchen,1835,"Korean, New American, Tapas/Small Plates",4.4,"['delivery', 'pickup']","424 E 9th St, New York, NY 10009",10009,,$$,40.72761,-73.98373,Manhattan
Ippudo NY,10788,Ramen,4.1,"['pickup', 'delivery']","65 4th Ave, New York, NY 10003",10003,(212) 388-0088,$$,40.730925,-73.990254,Manhattan
ARIARI,339,"Korean, Tapas/Small Plates, Gastropubs",4.5,[],"119 1st Ave, New York, NY 10003",10003,(646) 422-7466,,40.727283504010266,-73.9858313,Manhattan
Veselka,3300,"Diners, Ukrainian",4.0,"['pickup', 'delivery']","144 2nd Ave, New York, NY 10003",10003,(212) 228-9682,$$,40.729036,-73.98712,Manhattan
The Cabin NYC,713,"New American, Cocktail Bars, Breakfast & Brunch",4.1,"['restaurant_reservation', 'delivery', 'pickup']","205 E 4th St, New York, NY 10009",10009,(212) 777-0454,$$,40.723991,-73.983785,Manhattan
Salma,214,"Lebanese, Breakfast & Brunch, Sandwiches",4.5,"['delivery', 'pickup']","351 E 12th St, New York, NY 10003",10003,(917) 261-4907,$$,40.730369942268375,-73.9837222575225,Manhattan
Pranakhon Thai Restaurant,532,"Thai, Salad, Noodles",4.5,"['delivery', 'pickup']","88 University Pl, New York, NY 10003",10003,(212) 786-6789,$$,40.73369,-73.99316,Manhattan
Fish Cheeks,1731,"Seafood, Thai, Live/Raw Food",4.4,"['delivery', 'pickup']","55 Bond St, New York, NY 10012",10012,(212) 677-2223,$$,40.7258,-73.9927,Manhattan
Little Ruby's East Village,482,"Australian, Breakfast & Brunch, Burgers",4.4,"['pickup', 'delivery']","198 E 11th St, New York, NY 10003",10003,(646) 998-4265,$$,40.7310755,-73.9883598,Manhattan
Kimura,472,"Japanese, Hot Pot, Sushi Bars",4.5,"['delivery', 'pickup']","31 St Marks Pl, New York, NY 10003",10003,(917) 905-1864,$$$,40.72904325062745,-73.9882174,Manhattan
Claud,147,Restaurants,4.3,[],"90 E 10th St, New York, NY 10003",10003,(917) 261-6791,,40.73088,-73.98968,Manhattan
The Standard East Village,4,Pop-Up Restaurants,4.8,[],"25 Cooper Sq, New York, NY 10003",10003,(212) 475-5700,,40.7278622696929,-73.99082132730517,Manhattan
Bad Hombre,16,Mexican,4.8,[],"29 Second Ave, New York, NY 10003",10003,(212) 677-1030,,40.724695,-73.990888,Manhattan
Han Dynasty,1412,"Szechuan, Noodles, Beer Bar",3.9,"['delivery', 'pickup']","90 3rd Ave, New York, NY 10003",10003,(212) 390-8685,$$,40.732072,-73.988074,Manhattan
Madame Vo,1171,Vietnamese,4.0,"['pickup', 'delivery']","212 E 10th St, New York, NY 10003",10003,(917) 261-2115,$$,40.72925,-73.98612,Manhattan
3 Times,272,"Dim Sum, Shanghainese, Noodles",4.0,"['delivery', 'pickup']","818 Broadway, New York, NY 10003",10003,(646) 609-3040,$$,40.73285,-73.99104,Manhattan
Uluh,1030,"Tea Rooms, Asian Fusion, Szechuan",4.4,"['restaurant_reservation', 'delivery', 'pickup']","152 2nd Ave, Ste A, New York, NY 10003",10003,(917) 261-5963,$$$,40.729354,-73.98665,Manhattan
Penny,33,"Venues & Event Spaces, Seafood, Wine Bars",4.3,[],"90 E 10th St, New York, NY 10003",10003,,,40.730806,-73.989727,Manhattan
886,755,"Taiwanese, Asian Fusion",4.0,"['delivery', 'pickup']","26 Saint Marks Pl, New York, NY 10003",10003,(646) 882-0231,$$,40.72880795067701,-73.988719,Manhattan
Taboonette,1084,"Mediterranean, Middle Eastern, New American",4.3,"['pickup', 'delivery']","30 E 13th St, New York, NY 10003",10003,(212) 510-7881,$$,40.7346038818359,-73.9928283691406,Manhattan
Kyuramen - Union Square,755,"Ramen, Japanese Curry",4.2,"['restaurant_reservation', 'delivery']","210 E 14th St, New York, NY 10003",10003,(646) 692-4120,$$,40.732758,-73.986842,Manhattan
Yellow Rose,199,Tex-Mex,4.2,"['pickup', 'delivery']","102 3rd Ave, New York, NY 10003",10003,(212) 529-8880,,40.732575,-73.98806909999999,Manhattan
Szechuan Mountain House,807,Szechuan,4.3,"['delivery', 'pickup']","23 St Marks Pl, New York, NY 10003",10003,(917) 388-3866,$$,40.72911,-73.98858,Manhattan
Upstate Craft Beer & Oyster Bar,2096,Seafood,4.4,['delivery'],"95 1st Ave, New York, NY 10003",10003,(646) 791-5400,$$,40.726373,-73.986557,Manhattan
The Grey Dog - Union Square,1260,"Breakfast & Brunch, American, Comfort Food",3.9,"['pickup', 'delivery']","90 University Pl, New York, NY 10003",10003,(212) 414-4739,$$,40.733828,-73.993052,Manhattan
Nuovo York Pizza,82,Pizza,4.6,"['pickup', 'delivery']","105 E 9th St, New York, NY 10003",10003,(646) 476-2428,,40.7305,-73.99008,Manhattan
The Winslow,739,"Pubs, British, Cocktail Bars",4.5,['delivery'],"243 E 14th St, New York, NY 10003",10003,(212) 777-7717,$$,40.73278,-73.98522,Manhattan
Café Maud,37,"Cafes, Bars, Pizza",4.3,"['pickup', 'delivery']","132 2nd Ave, New York, NY 10003",10003,,,40.72867270000141,-73.98738869999997,Manhattan
The Gray Mare,140,"Cocktail Bars, American, Lounges",4.4,['delivery'],"61 2nd Ave, New York, NY 10003",10003,(212) 388-0662,$$,40.726035,-73.989936,Manhattan
Little Rebel,89,"New American, Cocktail Bars, Breakfast & Brunch",4.0,"['pickup', 'delivery']","219 2nd Ave, New York, NY 10003",10003,(646) 922-7325,,40.73203,-73.98543,Manhattan
The Dolar Shop,486,"Hot Pot, Chinese",4.5,"['restaurant_reservation', 'pickup']","55 3rd Ave, New York, NY 10003",10003,(646) 590-0034,$$$,40.731032,-73.988569,Manhattan
C as in Charlie,337,"Korean, Tapas/Small Plates, Southern",4.5,[],"5 Bleecker St, New York, NY 10012",10012,,,40.72545,-73.99269,Manhattan
Thai Villa,5127,Thai,4.4,"['pickup', 'delivery']","5 E 19th St, G Floor, New York, NY 10003",10003,(212) 802-9999,$$,40.73902,-73.99065,Manhattan
Third Kingdom,44,"Vegan, Beer Bar, Desserts",4.6,"['pickup', 'delivery']","21 E 7th St, New York, NY 10003",10003,(833) 328-4588,$$$,40.728661150695935,-73.9893618,Manhattan
Okiboru House of Udon,148,Japanese,4.2,"['pickup', 'delivery']","124 2nd Ave, New York, NY 10003",10003,(678) 498-6530,,40.72841107177022,-73.98772392234153,Manhattan
Odd Sister,72,"Cocktail Bars, Diners, Coffee & Tea",4.3,"['pickup', 'delivery']","45 Mercer St, New York, NY 10013",10013,(212) 966-9288,,40.721695,-74.001446,Manhattan
Pylos,1276,Greek,4.3,"['pickup', 'delivery']","128 E 7th St, New York, NY 10009",10009,(212) 473-0220,$$$,40.72608,-73.98415,Manhattan
Linen Hall,179,"Bars, American",3.9,['delivery'],"101 3rd Ave, New York, NY 10003",10003,(646) 602-9316,$$,40.7323193887187,-73.9876905276754,Manhattan
Boucherie Union Square,1674,"Steakhouses, French, Cocktail Bars",4.4,"['pickup', 'delivery']","225 Park Ave S, New York, NY 10003",10003,(212) 353-0200,$$$,40.73725824850519,-73.9882252705524,Manhattan
