name,review_count,categories,rating,address,zipcode,display_phone,latitude,longitude,borough
Life Time,85,Sports Clubs,3.0,"605 West 42nd St, New York, NY 10036",10036,(212) 564-1300,40.76148,-73.99861,Manhattan
Orangetheory Fitness Midtown West,68,"Boot Camps, Gyms, Trainers",3.7,"321 West 37th St, New York, NY 10018",10018,(646) 829-9330,40.75454,-73.99289,Manhattan
New York Sports Club,15,Gyms,2.5,"3 Park Ave, New York, NY 10016",10016,(212) 686-1085,40.74663,-73.98069,Manhattan
Manhattan Plaza Health Club,224,"Trainers, Swimming Lessons/Schools, Cardio Classes",3.5,"482 W 43rd St, New York, NY 10036",10036,(646) 590-4411,40.75995,-73.99473,Manhattan
CrossFit Hell's Kitchen,82,Interval Training Gyms,3.8,"361 W 36th St, New York, NY 10018",10018,(646) 234-8425,40.75453,-73.99463,Manhattan
Planet Fitness,197,"Gyms, Trainers",2.8,"423 W 55th St, New York, NY 10019",10019,(212) 336-0750,40.76735037046035,-73.98776430732288,Manhattan
Solace,116,"Gyms, Trainers",4.2,"38 E 32nd St, New York, NY 10016",10016,(212) 301-2766,40.74589554602202,-73.98326733851343,Manhattan
New York Sports Club,21,Gyms,3.3,"113 East 23rd St, New York, NY 10010",10010,(212) 982-4400,40.74018,-73.98572,Manhattan
Crunch Fitness - 54th Street,158,"Trainers, Gyms, Yoga",3.0,"250 West 54th St, New York, NY 10019",10019,(212) 307-7760,40.764258636535224,-73.983522,Manhattan
Blink Fitness - Bryant Park,149,"Gyms, Trainers",2.5,"5 Bryant Park, New York, NY 10018",10018,(646) 795-2681,40.7539299273703,-73.9854977790695,Manhattan
Gym U Nyc,8,Gyms,3.0,"215 W 23rd St, New York, NY 10011",10011,(646) 410-2858,40.744618,-73.996106,Manhattan
Naked in Motion,4,"Yoga, Pilates, Nudist",4.0,"245 West 29th St, Fl 11, Wild Studio, New York, NY 10001",10001,,40.74868,-73.99462,Manhattan
Fluid Fitness,6,Fitness & Instruction,4.8,"248 W 35th St, Ste  504, New York, NY 10001",10001,(212) 278-8330,40.7522869,-73.99211869999999,Manhattan
New York Athletic Club,90,"Sports Clubs, Social Clubs",3.3,"180 Central Park S, New York, NY 10019",10019,(212) 247-5100,40.76661,-73.97883,Manhattan
Crunch Fitness - 34th Street,227,"Trainers, Gyms, Yoga",2.9,"222 East 34th St, New York, NY 10016",10016,(212) 545-9757,40.74495,-73.97699,Manhattan
TITLE Boxing Club,116,"Trainers, Boxing, Kickboxing",3.6,"455 W 37th, New York, NY 10018",10018,(212) 564-1700,40.7563464980451,-73.9971314703095,Manhattan
YMCA of Greater N Y,2,Gyms,3.0,"333 7th Ave, New York, NY 10001",10001,(212) 290-5370,40.74746537450629,-73.99290933313965,Manhattan
Equinox West 50th Street,72,"Gyms, Day Spas, Sports Clubs",3.1,"1633 Broadway, New York, NY 10019",10019,(212) 541-7000,40.762163,-73.98456,Manhattan
Beyond Pilates,25,"Pilates, Trainers",4.6,"347 W36th St, Fl 10, Ste 1004, New York, NY 10018",10018,(212) 216-9797,40.754345,-73.994262,Manhattan
Athletic and Swim Club,34,"Swimming Pools, Trainers",3.4,"787 7th Ave, New York, NY 10019",10019,(212) 265-3490,40.76187312368858,-73.98222501165662,Manhattan
TMPL - Hell's Kitchen,54,"Gyms, Trainers, Swimming Lessons/Schools",3.2,"355 W 49th St, New York, NY 10019",10019,(917) 521-6666,40.76259,-73.98827,Manhattan
Row House Fitness Chelsea,82,Cardio Classes,4.4,"269 W 23rd St, New York, NY 10011",10011,(646) 850-0540,40.7452699,-73.9977879,Manhattan
Crux Time,2,"Trainers, Weight Loss Centers",5.0,"New York, NY 10001",10001,(201) 527-4555,40.750621,-73.997151,Manhattan
The Fort,24,"Gyms, Trainers",4.7,"30 W 21st St, New York, NY 10010",10010,(917) 409-6782,40.7408649,-73.99232310000001,Manhattan
Crunch Fitness - Midtown East,11,"Trainers, Gyms",3.3,"511 Lexington Ave, New York, NY 10017",10017,(212) 448-7330,40.754906396235505,-73.97326074362964,Manhattan
Equinox,167,"Gyms, Day Spas, Sports Clubs",3.2,"897 Broadway, New York, NY 10003",10003,(212) 780-9300,40.7389916382769,-73.9899986684418,Manhattan
TMPL - West Village,22,"Gyms, Trainers, Cardio Classes",4.0,"125 Seventh Ave, New York, NY 10014",10014,(212) 206-1500,40.73429889177493,-74.00215998956726,Manhattan
TMPL - Avenue A,42,Gyms,4.1,"28-30 Ave A, New York, NY 10009",10009,(917) 720-4869,40.72324738752194,-73.98537394324947,Manhattan
GYM NYC,32,"Gyms, Trainers",4.5,"227 Mulberry St, New York, NY 10012",10012,(646) 678-4723,40.722571,-73.9962,Manhattan
Gym Nyc E 3rd St,3,Gyms,3.3,"155 E 3rd St, New York, NY 10009",10009,(646) 678-5005,40.72357,-73.98483,Manhattan
Manny Cantor Fitness,6,"Gyms, Trainers, Yoga",3.3,"197 East Broadway, Fl 5, New York, NY 10002",10002,(646) 395-4282,40.71409,-73.98841,Manhattan
CONBODY,111,"Trainers, Boot Camps, Cardio Classes",5.0,"121 Ludlow St, Fl 2, New York, NY 10002",10002,(347) 251-0423,40.71867648527248,-73.98982363276953,Manhattan
WillyB CrossFit - Bowery,65,Interval Training Gyms,4.6,"285 Grand St, New York, NY 10002",10002,(516) 725-5032,40.7176199,-73.99249,Manhattan
F45 Training Lower East Side,21,"Interval Training Gyms, Circuit Training Gyms, Trainers",4.9,"100 Delancey St, Fl 2, New York, NY 10002",10002,(917) 388-2616,40.71899317829428,-73.9888045,Manhattan
Equinox Orchard Street,59,"Gyms, Sports Clubs, Day Spas",2.7,"200 Orchard St, New York, NY 10002",10002,(212) 501-1450,40.72232,-73.9878884,Manhattan
SoHo Strength Lab,18,Trainers,4.8,"182 Mulberry St, New York, NY 10012",10012,(212) 226-8682,40.7208405,-73.9964294,Manhattan
PingPod,33,"Sports Clubs, Venues & Event Spaces, Kids Activities",4.8,"42 Allen St, FL 2, New York, NY 10002",10002,(929) 484-2129,40.71626363491408,-73.9915829,Manhattan
Chinatown Flow,1,"Gyms, Trainers",5.0,"48 Mott St, Fl 2, New York, NY 10013",10013,,40.71536,-73.99848,Manhattan
Blink Fitness - East Village,132,"Gyms, Trainers",2.3,"98 Avenue A, New York, NY 10009",10009,(212) 202-3300,40.725669,-73.9835690315461,Manhattan
Life Time,9,"Gyms, Trainers",3.3,"62 Cooper Sq, New York, NY 10003",10003,(917) 438-0300,40.729143,-73.991236,Manhattan
Crunch Fitness - Bowery,131,"Gyms, Trainers, Yoga",3.5,"2 Cooper Square, New York, NY 10003",10003,(212) 614-0120,40.727405,-73.9920307,Manhattan
Manny Cantor Center,31,"Preschools, Cultural Center, Gyms",3.3,"197 East Broadway, New York, NY 10002",10002,(646) 395-4280,40.7141529,-73.9882145,Manhattan
TMPL - West Village,22,"Gyms, Trainers, Cardio Classes",4.0,"125 Seventh Ave, New York, NY 10014",10014,(212) 206-1500,40.73429889177493,-74.00215998956726,Manhattan
Planet Fitness,81,"Gyms, Trainers",3.0,"370 Canal St, New York, NY 10013",10013,(646) 216-3031,40.72068928487479,-74.00436001020157,Manhattan
305 Fitness,198,Cardio Classes,4.8,"18 W 8th St, New York, NY 10011",10011,(212) 603-9931,40.732649,-73.997569,Manhattan
Blink Fitness - FiDi,121,"Gyms, Trainers",2.8,"111 Nassau St, New York, NY 10038",10038,(646) 561-5459,40.710859,-74.00731219136071,Manhattan
RS Strength,1,"Gyms, Boxing, Trainers",5.0,"8 Grand Ave, Brooklyn, NY 11205",11205,(347) 728-3810,40.69746,-73.965096,Brooklyn
Equinox SoHo,170,"Gyms, Day Spas, Sports Clubs",3.2,"69 Prince St, New York, NY 10012",10012,(212) 334-4631,40.723984837532,-73.9970813691616,Manhattan
Crunch Fitness - Union Square,228,"Gyms, Trainers, Yoga",3.1,"113 4th Ave, New York, NY 10003",10003,(212) 533-0001,40.7328631,-73.9897564,Manhattan
14th Street Y,59,"Gyms, Swimming Pools, Performing Arts",3.3,"344 E 14th St, New York, NY 10003",10003,(212) 780-0800,40.731370743568,-73.983186472804,Manhattan
Liftonic,2,Gyms,5.0,"32 E 1st St, New York, NY 10003",10003,,40.724326380029815,-73.9904841,Manhattan
Gleason's Gym,33,"Gyms, Boxing, Trainers",4.5,"130 Water St, Brooklyn, NY 11201",11201,(718) 797-2872,40.703127249879145,-73.9890025,Brooklyn
Great Jones Fitness,3,Gyms,5.0,"47 Great Jones St, Fl 1, New York, NY 10012",10012,(646) 707-3249,40.7265091,-73.99263,Manhattan
Crunch Fitness - Tribeca,90,"Gyms, Trainers",3.6,"80 Leonard St, New York, NY 10013",10013,(212) 966-5432,40.71723312,-74.00518333,Manhattan
Two Bridges Muay Thai,5,Muay Thai,4.0,"40 Ludlow St, New York, NY 10002",10002,,40.716130406140394,-73.99010144110201,Manhattan
Workshop NYC,19,"Muay Thai, Brazilian Jiu-Jitsu",5.0,"92 Delancey St, New York, NY 10002",10002,(917) 675-7282,40.719168558893614,-73.9891932,Manhattan
Dogpound,45,"Trainers, Gyms, Boxing",4.7,"1 Renwick St, New York, NY 10013",10013,(646) 620-6533,40.724624,-74.008726,Manhattan
StuyFitness on 20th,52,Sports Clubs,2.9,"532 E 20th St, New York, NY 10010",10010,(212) 420-5005,40.7330077,-73.9758915,Manhattan
Planet Fitness,101,"Gyms, Trainers",2.6,"22 E 14th St, New York, NY 10003",10003,(646) 755-6500,40.735386,-73.99258,Manhattan
Cordell Fitness,10,"Gyms, Massage",4.2,"255 Centre St, Fl 2, New York, NY 10013",10013,(212) 925-7177,40.7202868,-73.998294,Manhattan
Nimble Fitness,37,"Gyms, Trainers",4.4,"42 E 12th St, New York, NY 10003",10003,(212) 633-9030,40.7333601,-73.9919568,Manhattan
StuyFitness on 14th,3,Gyms,3.3,"629 East 14th St, New York, NY 10009",10009,(212) 253-3604,40.72911,-73.97659,Manhattan
Chinatown Branch YMCA,55,"Gyms, Child Care & Day Care",2.8,"273 Bowery, New York, NY 10002",10002,(212) 912-2460,40.7237329,-73.9924215,Manhattan
Stanton Street Yoga,87,Yoga,4.8,"196A Stanton St, New York, NY 10002",10002,(787) 396-2092,40.720008,-73.983032,Manhattan
NYU Athletics,4,Sports Clubs,3.8,"404 Lafayette St, New York, NY 10003",10003,(212) 998-2020,40.7283715903759,-73.992787823081,Manhattan
Equinox Dumbo,32,"Gyms, Sports Clubs, Day Spas",3.8,"117 Front St, Brooklyn, NY 11201",11201,(347) 435-2341,40.70259,-73.98885,Brooklyn
Gotham Gym,40,"Gyms, Boxing, Trainers",4.3,"600 Washington St, New York, NY 10014",10014,(646) 490-8500,40.73081,-74.00925,Manhattan
Blink Fitness - Noho,346,"Gyms, Trainers",2.7,"16 E 4th St, New York, NY 10012",10012,(212) 245-6008,40.7286195,-73.99387567,Manhattan
Hit House,38,"Muay Thai, Kickboxing, Cardio Classes",4.8,"2 Spring St, New York, NY 10012",10012,(917) 675-7574,40.721,-73.99417,Manhattan
Alex Strong Fitness Coach,6,Trainers,5.0,"Manhattan, NY 10013",10013,(929) 509-0882,40.71854,-74.00888,Manhattan
Equinox Bond Street,67,"Gyms, Sports Clubs, Day Spas",3.0,"Zero Bond St, New York, NY 10012",10012,(212) 419-3273,40.727083,-73.9947993,Manhattan
[solidcore],9,Pilates,4.4,"500 E 14th St, New York, NY 10009",10009,(646) 846-2179,40.73017,-73.98018,Manhattan
Grind House,35,Gyms,3.5,"203 Berry St, Brooklyn, NY 11249",11249,(718) 963-0835,40.71644,-73.9612,
Fox Box Boxing,4,"Boxing, Trainers",5.0,"219 Madison St, New York, NY 10002",10002,(305) 606-9551,40.712954245058675,-73.9889582,Manhattan
Krank Brooklyn,51,"Weight Loss Centers, Gyms",4.9,"2 Prince St, Fl 8, Brooklyn, NY 11201",11201,(347) 541-3181,40.6972499,-73.9824,Brooklyn
Tremble,0,Gyms,0.0,"62 Grand St, Fl 3, Brooklyn, NY 11249",11249,,40.715714,-73.965037,
The Trinity Boxing Club,25,Boxing,4.8,"20 Vesey St, New York, NY 10007",10007,(212) 374-9393,40.712034887269354,-74.00948423323965,Manhattan
Life Time,9,"Gyms, Trainers",3.3,"62 Cooper Sq, New York, NY 10003",10003,(917) 438-0300,40.729143,-73.991236,Manhattan
Crunch Fitness - Union Square,228,"Gyms, Trainers, Yoga",3.1,"113 4th Ave, New York, NY 10003",10003,(212) 533-0001,40.7328631,-73.9897564,Manhattan
Crunch Fitness - Bowery,131,"Gyms, Trainers, Yoga",3.5,"2 Cooper Square, New York, NY 10003",10003,(212) 614-0120,40.727405,-73.9920307,Manhattan
GYM NYC,32,"Gyms, Trainers",4.5,"227 Mulberry St, New York, NY 10012",10012,(646) 678-4723,40.722571,-73.9962,Manhattan
Nimble Fitness,37,"Gyms, Trainers",4.4,"42 E 12th St, New York, NY 10003",10003,(212) 633-9030,40.7333601,-73.9919568,Manhattan
305 Fitness,198,Cardio Classes,4.8,"18 W 8th St, New York, NY 10011",10011,(212) 603-9931,40.732649,-73.997569,Manhattan
14th Street Y,59,"Gyms, Swimming Pools, Performing Arts",3.3,"344 E 14th St, New York, NY 10003",10003,(212) 780-0800,40.731370743568,-73.983186472804,Manhattan
Planet Fitness,101,"Gyms, Trainers",2.6,"22 E 14th St, New York, NY 10003",10003,(646) 755-6500,40.735386,-73.99258,Manhattan
Great Jones Fitness,3,Gyms,5.0,"47 Great Jones St, Fl 1, New York, NY 10012",10012,(646) 707-3249,40.7265091,-73.99263,Manhattan
Orangetheory Fitness,34,"Trainers, Boot Camps, Gyms",3.3,"51 Astor Pl, New York, NY 10003",10003,(646) 357-3057,40.7297743856907,-73.9905857294798,Manhattan
Blink Fitness - Noho,346,"Gyms, Trainers",2.7,"16 E 4th St, New York, NY 10012",10012,(212) 245-6008,40.7286195,-73.99387567,Manhattan
TMPL - Avenue A,42,Gyms,4.1,"28-30 Ave A, New York, NY 10009",10009,(917) 720-4869,40.72324738752194,-73.98537394324947,Manhattan
NYU Athletics,4,Sports Clubs,3.8,"404 Lafayette St, New York, NY 10003",10003,(212) 998-2020,40.7283715903759,-73.992787823081,Manhattan
Encore Fitness,18,"Trainers, Gyms",4.9,"137 5th Ave, #10r, New York, NY 10010",10010,(845) 853-3166,40.7398373481236,-73.9851167052984,Manhattan
New York Sports Club,21,Gyms,3.3,"113 East 23rd St, New York, NY 10010",10010,(212) 982-4400,40.74018,-73.98572,Manhattan
TMPL - Astor Place,43,Gyms,2.5,"4 Astor Pl, New York, NY 10003",10003,(917) 877-1400,40.72988,-73.99241,Manhattan
Chelsea Piers Fitness,212,"Gyms, Swimming Pools, Yoga",4.1,"60 Chelsea Piers, New York, NY 10011",10011,(212) 336-6000,40.746629493332875,-74.01006942010173,Manhattan
New York Sports Club,24,Gyms,3.0,"128 8th Ave, New York, NY 10011",10011,(212) 627-0065,40.7412950308674,-74.00123,Manhattan
Chelsea Piers Fitness,4,"Gyms, Gymnastics, Yoga",4.8,"308 Park Ave S, New York, NY 10010",10010,(212) 609-3200,40.73910159305324,-73.98624490116839,Manhattan
CrossFit Union Square,22,Interval Training Gyms,4.3,"1 Union Square W, Basement, New York, NY 10003",10003,(212) 254-9222,40.7355333,-73.99502077039858,Manhattan
Crunch Fitness - 34th Street,227,"Trainers, Gyms, Yoga",2.9,"222 East 34th St, New York, NY 10016",10016,(212) 545-9757,40.74495,-73.97699,Manhattan
Palladium Athletic Facility,35,Gyms,3.0,"140 E 14th St, New York University, New York, NY 10003",10003,(212) 992-8500,40.7336111608779,-73.9879779074001,Manhattan
Hanson Fitness,14,Trainers,4.7,"795 Broadway, Fl 2, Second Fl, New York, NY 10003",10003,(917) 680-3097,40.73221885821614,-73.99162330318083,Manhattan
Equinox Bond Street,67,"Gyms, Sports Clubs, Day Spas",3.0,"Zero Bond St, New York, NY 10012",10012,(212) 419-3273,40.727083,-73.9947993,Manhattan
Gym Nyc E 3rd St,3,Gyms,3.3,"155 E 3rd St, New York, NY 10009",10009,(646) 678-5005,40.72357,-73.98483,Manhattan
Blink Fitness - East Village,132,"Gyms, Trainers",2.3,"98 Avenue A, New York, NY 10009",10009,(212) 202-3300,40.725669,-73.9835690315461,Manhattan
TMPL - West Village,22,"Gyms, Trainers, Cardio Classes",4.0,"125 Seventh Ave, New York, NY 10014",10014,(212) 206-1500,40.73429889177493,-74.00215998956726,Manhattan
Body Evolution,70,"Yoga, Trainers, Pilates",4.5,"266 E 10th St, New York, NY 10009",10009,(212) 375-0430,40.728214263916,-73.9836730957031,Manhattan
Equinox,167,"Gyms, Day Spas, Sports Clubs",3.2,"897 Broadway, New York, NY 10003",10003,(212) 780-9300,40.7389916382769,-73.9899986684418,Manhattan
RFX Studios Gramercy,4,"Gyms, Trainers, Nutritionists",3.0,"194 3rd Ave, New York, NY 10003",10003,(213) 543-5316,40.73554,-73.98576,Manhattan
Mile High Run Club,145,Trainers,4.5,"28 E 4th St, New York, NY 10003",10003,(212) 466-6472,40.727387,-73.992446,Manhattan
F45 Training Union Square,3,Circuit Training Gyms,4.7,"110 E 13th St, New York, NY 10003",10003,(347) 627-0273,40.733094,-73.989306,Manhattan
"HOTWORX - New York, NY - Greenwich Village",6,"Yoga, Pilates, Interval Training Gyms",3.8,"784 Broadway, New York, NY 10003",10003,(212) 970-7099,40.73151,-73.99143,Manhattan
Equinox SoHo,170,"Gyms, Day Spas, Sports Clubs",3.2,"69 Prince St, New York, NY 10012",10012,(212) 334-4631,40.723984837532,-73.9970813691616,Manhattan
Barry's NoHo,93,"Boot Camps, Trainers, Gyms",3.8,"419 Lafayette St, New York, NY 10003",10003,(212) 260-4777,40.7291025884778,-73.9927618579755,Manhattan
SoHo Strength Lab,18,Trainers,4.8,"182 Mulberry St, New York, NY 10012",10012,(212) 226-8682,40.7208405,-73.9964294,Manhattan
[solidcore],9,Pilates,4.4,"500 E 14th St, New York, NY 10009",10009,(646) 846-2179,40.73017,-73.98018,Manhattan
Life Time,29,Gyms,2.8,"60 W 23rd St, New York, NY 10010",10010,(212) 381-8900,40.74238,-73.99237,Manhattan
Planet Fitness,81,"Gyms, Trainers",3.0,"370 Canal St, New York, NY 10013",10013,(646) 216-3031,40.72068928487479,-74.00436001020157,Manhattan
Chinatown Flow,1,"Gyms, Trainers",5.0,"48 Mott St, Fl 2, New York, NY 10013",10013,,40.71536,-73.99848,Manhattan
Liftonic,2,Gyms,5.0,"32 E 1st St, New York, NY 10003",10003,,40.724326380029815,-73.9904841,Manhattan
SLT NoHo,2,"Gyms, Trainers, Pilates",3.0,"65 E 8th St, New York, NY 10003",10003,(212) 884-1141,40.73098932809386,-73.9930768064248,Manhattan
Bell,1,Gyms,5.0,"12 E St Marks Pl, Ste 4F, New York, NY 10003",10003,(212) 226-5860,40.729009,-73.989308,Manhattan
StuyFitness on 14th,3,Gyms,3.3,"629 East 14th St, New York, NY 10009",10009,(212) 253-3604,40.72911,-73.97659,Manhattan
StuyFitness on 20th,52,Sports Clubs,2.9,"532 E 20th St, New York, NY 10010",10010,(212) 420-5005,40.7330077,-73.9758915,Manhattan
Equinox Orchard Street,59,"Gyms, Sports Clubs, Day Spas",2.7,"200 Orchard St, New York, NY 10002",10002,(212) 501-1450,40.72232,-73.9878884,Manhattan
Tone House,175,"Gyms, Trainers",4.6,"32 E 31st St, New York, NY 10016",10016,(646) 453-6633,40.74551,-73.98375,Manhattan
Dogpound,45,"Trainers, Gyms, Boxing",4.7,"1 Renwick St, New York, NY 10013",10013,(646) 620-6533,40.724624,-74.008726,Manhattan
Chinatown Branch YMCA,55,"Gyms, Child Care & Day Care",2.8,"273 Bowery, New York, NY 10002",10002,(212) 912-2460,40.7237329,-73.9924215,Manhattan
Solace,116,"Gyms, Trainers",4.2,"38 E 32nd St, New York, NY 10016",10016,(212) 301-2766,40.74589554602202,-73.98326733851343,Manhattan
Life Time One Wall Street,18,"Gyms, Trainers, Yoga",4.2,"29 New St, New York City, NY 10005",10005,(212) 671-7100,40.7067785,-74.0119055,Manhattan
CompleteBody -  Financial District,138,"Trainers, Gyms, Juice Bars & Smoothies",4.0,"10 Hanover Sq, New York, NY 10005",10005,(212) 777-7702,40.704615,-74.008815,Manhattan
The Terrace Club,4,"Gyms, Swimming Pools",4.0,"380 Rector Pl, New York, NY 10280",10280,(212) 945-3665,40.7092142492492,-74.0182609871359,Manhattan
GYM NYC,32,"Gyms, Trainers",4.5,"227 Mulberry St, New York, NY 10012",10012,(646) 678-4723,40.722571,-73.9962,Manhattan
Crunch Fitness - FiDi,53,"Gyms, Trainers",3.2,"140 Broadway, New York, NY 10005",10005,(212) 308-5824,40.708675986531766,-74.0100898,Manhattan
Planet Fitness,132,"Gyms, Trainers",2.8,"25 Broadway, New York, NY 10004",10004,(646) 216-3131,40.70590143868003,-74.01359443909976,Manhattan
Equinox Wall Street,118,"Gyms, Day Spas, Sports Clubs",3.0,"14 Wall St, New York, NY 10005",10005,(212) 964-6688,40.70745,-74.01104,Manhattan
Base,187,"Gyms, Boot Camps, Yoga",4.1,"60 Christopher Columbus Dr, Jersey City, NJ 07302",7302,(201) 332-2866,40.71876540993267,-74.039929,
Blink Fitness - FiDi,121,"Gyms, Trainers",2.8,"111 Nassau St, New York, NY 10038",10038,(646) 561-5459,40.710859,-74.00731219136071,Manhattan
Sweat W Downtown,1,Gyms,5.0,"123 Washington St, New York, NY 10006",10006,(646) 826-8600,40.7100001322884,-74.0133063453884,Manhattan
Retro Fitness,90,Gyms,2.1,"1 New York Plz, New York, NY 10004",10004,(646) 667-6635,40.70207620882339,-74.01251147055186,Manhattan
Dogpound,45,"Trainers, Gyms, Boxing",4.7,"1 Renwick St, New York, NY 10013",10013,(646) 620-6533,40.724624,-74.008726,Manhattan
Crunch Fitness - Tribeca,90,"Gyms, Trainers",3.6,"80 Leonard St, New York, NY 10013",10013,(212) 966-5432,40.71723312,-74.00518333,Manhattan
Chelsea Piers Fitness,212,"Gyms, Swimming Pools, Yoga",4.1,"60 Chelsea Piers, New York, NY 10011",10011,(212) 336-6000,40.746629493332875,-74.01006942010173,Manhattan
Life Time,2,"Gyms, Sports Clubs, Trainers",2.5,"1 West St, New York, NY 10004",10004,(212) 419-7300,40.70524,-74.01612349999999,Manhattan
Mercedes Club,177,"Gyms, Swimming Lessons/Schools",4.1,"550 W 54th St, New York, NY 10019",10019,(212) 265-1111,40.76768,-73.99149,Manhattan
Planet Fitness,81,"Gyms, Trainers",3.0,"370 Canal St, New York, NY 10013",10013,(646) 216-3031,40.72068928487479,-74.00436001020157,Manhattan
Equinox Brookfield Place,78,"Gyms, Sports Clubs, Day Spas",3.1,"225 Liberty St, New York, NY 10281",10281,(646) 630-7573,40.7127319449061,-74.01492899974423,
Life Time,9,"Gyms, Trainers",3.3,"62 Cooper Sq, New York, NY 10003",10003,(917) 438-0300,40.729143,-73.991236,Manhattan
Just Train,46,Trainers,5.0,"6 Maiden Ln, Fl 2, New York, NY 10038",10038,(212) 920-7739,40.7096146,-74.0095769,Manhattan
Maximum Motion Fitness,14,"Gyms, Trainers, Yoga",4.4,"262 Grove St, Jersey City, NJ 07302",7302,(201) 985-9114,40.7171778,-74.0443051,
Equinox Tribeca,94,"Gyms, Day Spas, Sports Clubs",3.3,"54 Murray St, New York, NY 10007",10007,(212) 566-6555,40.71412,-74.00981,Manhattan
Crunch Fitness - 34th Street,227,"Trainers, Gyms, Yoga",2.9,"222 East 34th St, New York, NY 10016",10016,(212) 545-9757,40.74495,-73.97699,Manhattan
GHOST Williamsburg,5,Gyms,4.4,"291 Metropolitan Ave, Brooklyn, NY 11211",11211,(718) 705-9850,40.714767,-73.957695,Brooklyn
Oculus Fitness,19,Interval Training Gyms,4.7,"151 William St, New York, NY 10038",10038,(646) 832-4788,40.7098475,-74.0063575,Manhattan
Asphalt Green - Battery Park City,51,Swimming Pools,2.8,"212 N End Ave, New York, NY 10282",10282,(212) 298-2900,40.7160764,-74.0149912,Manhattan
NY Fitness,10,"Trainers, Weight Loss Centers",4.6,"New York, NY 10006",10006,(212) 651-9048,40.709329,-74.0131196,Manhattan
